date,home,region,city
2012-09-24,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-25,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-02,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-03,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-04,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-05,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-06,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-07,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-08,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-09,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-10,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-22,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-23,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-24,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-25,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-10-31,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
